country_name,year,gdp,popdensity,income_per_person,life_expectancy,total_population,m_in,m_out
Israel,1995,99968784246.0067,256.2384473198,22550,77.4,5331622,1554408,286289
Italy,1995,1170787357066.44,193.275655367,32731,78.1,57120136,1774954,3250928
Ivory Coast,1995,11000146839.497,45.2966666667,2964,52.5,14404340,2038795,452389
Jamaica,1995,5779285207.92079,228.9935364728,8644,74.7,2489540,20208,704184
Japan,1995,5333925511058.95,344.0455293472,31224,79.7,124483305,1358965,646677
Jordan,1995,6727446632.42009,48.9591795104,7516,72.5,4320158,1534882,334819
Kazakhstan,1995,20374307047.115,5.8582901804,8079,63.6,15925913,3245250,3309180
Kenya,1995,9046326059.98857,48.095433461,2199,58.1,27373035,511762,260161
Kiribati,1995,57610600.4447739,95.9592592593,1434,58.9,77727,1746,3795
Kosovo,1995,,186.3690640213,,,,,
Kuwait,1995,27191689008.0429,91.8648148148,82268,76.5,1637031,893634,94643
Kyrgyzstan,1995,1661018518.51852,23.7768508863,1696,65.1,4592135,498613,552214
Laos,1995,1763536299.18912,21.0475476603,1908,53.6,4857774,20911,536995
Late-demographic dividend,1995,3022205934224.6,43.871288935,,,,,
Latin America & Caribbean,1995,1910007225052.48,24.2317982196,,,,,
Latin America & Caribbean (excluding high income),1995,1500027533794.28,26.1112315076,,,,,
Latin America & the Caribbean (IDA & IBRD countries),1995,1824400609910.12,23.6081402471,,,,,
Latvia,1995,5785037079.29264,39.955238279,8110,66.5,2487988,538093,229003
Least developed countries: UN classification,1995,158931435448.917,29.0162088622,,,,,
Lebanon,1995,11718795528.4939,296.5206256109,12254,73.4,3033406,604819,529525
Lesotho,1995,859088528.025144,57.7675889328,1466,58.7,1753824,4024,137797
Liberia,1995,134800000,21.5938642027,142,50.9,2079921,189728,547790
Libya,1995,25544128198.9955,2.7724302943,23363,74.6,4878202,508041,75679
Liechtenstein,1995,2428524711.5576,192.70625,,,30833,13250,3059
Lithuania,1995,7870782260.51698,57.8988832163,10115,69,3628079,259880,344304
Low & middle income,1995,4735859070735.87,50.342553682,,,,,
Low income,1995,84192971614.594,27.6803680111,,,,,
Lower middle income,1995,1137001933536.62,96.9176824735,,,,,
Luxembourg,1995,21803347564.3131,,64568,76.9,408148,125818,29641
Macau,1995,6560637942.71945,19922.95,44465,76.56,398459,209502,95949
Madagascar,1995,3159901231.97468,23.1325893318,1402,57.2,13452526,15499,66389
Malawi,1995,1397454122.24047,104.1876537972,593,46.9,9822812,189007,138566
Malaysia,1995,88704944178.6284,63.0813392178,14035,72.4,20725374,843822,781250
Maldives,1995,398988954.970263,850,5264,69.3,254070,17826,1579
Mali,1995,2706425298.36818,7.9009359198,1126,51.4,9640643,157515,789113
Malta,1995,3599683395.46889,1157.603125,20720,78.4,372391,17594,110002
Marshall Islands,1995,120230000,283.4444444444,3562,65.2,51020,1305,4040
Mauritania,1995,1415296704.11812,2.2644474629,2838,61.2,2333966,88054,151355
Mauritius,1995,4040342060.18334,552.9344827586,9062,70.3,1128676,6936,111549
Mexico,1995,343792780638.899,48.5747812444,12491,73,94426946,456661,6722383
Middle East & North Africa,1995,707677832696.694,25.3565974292,,,,,
Middle East & North Africa (excluding high income),1995,341063616586.25,29.2651695506,,,,,
Middle East & North Africa (IDA & IBRD countries),1995,337743471357.187,28.9990701239,,,,,
Middle income,1995,4653177413558.34,54.2006723223,,,,,
Moldova,1995,1752975841.35916,127.7539889457,2596,65.4,4339082,355733,619338
Monaco,1995,3130270918.79061,15350,44514,,30700,11581,4700
Mongolia,1995,1452165052.66093,1.4792077551,4244,61.7,2298038,6653,27413
Montenegro,1995,,45.4804460967,7635,73.5,620415,0,142507
Morocco,1995,39030285468.3841,60.8601590858,3870,69.5,27161889,40348,1735519
Mozambique,1995,2521738759.58885,20.2358923167,465,52.7,15913101,91089,808535
Myanmar,1995,,68.4134574777,1868,59,44710931,99848,811128
Namibia,1995,3942478205.72909,2.0092725528,5900,60.5,1654214,112236,27808
Nauru,1995,,498.5,14177,,9970,2400,1027
Nepal,1995,4401104417.67068,149.5867482517,1405,61.7,21390905,651911,854757
Netherlands,1995,446528959648.641,457.9089454976,35244,77.6,15450803,1343094,735286
New Caledonia,1995,3628440274.67,10.6026258206,,72.16,189198,40990,3354
New Zealand,1995,63918703506.9075,13.950856405,25476,77,3674886,555116,418841
Nicaragua,1995,4140470000,38.3266494931,2934,74.4,4612229,25561,431059
Niger,1995,1880803361.68562,7.3907886635,811,49.5,9361912,136035,165706
Nigeria,1995,28546958641.2735,119.0474236086,2740,55,108424822,361537,516189
North America,1995,8270122373385.4,16.2000505136,,,,,
North Korea,1995,,180.7463665808,1442,58.6,21763670,31613,54622
Northern Mariana Islands,1995,,125.0391304348,,,57518,31106,2652
Norway,1995,152027402449.804,11.9349587263,50616,77.9,4359788,223951,147132
Not classified,1995,,,,,,,
OECD members,1995,25203953238204.1,32.4307933121,,,,,
Oman,1995,13802600780.2341,7.0819515347,39194,73.9,2191864,521084,13776
Other small states,1995,69416033107.2978,9.4128505642,,,,,
Pacific island small states,1995,3718407433.98328,28.6880373832,,,,,
Pakistan,1995,60636022422.6176,159.0386947385,3255,61.8,122599749,3665602,3329863
Palau,1995,95237000,37.5108695652,13913,,17255,4568,3371
Panama,1995,8371108300,36.8324589723,8795,75.3,2738125,70440,130019
Papua New Guinea,1995,4636113480.00002,10.4136576425,2139,56.9,4715929,31809,4122
Paraguay,1995,9062131307.88275,11.9830178706,6582,74.1,4760853,181196,335317
Peru,1995,51990003413.4232,18.7802820313,6198,71.1,24038761,55861,496338
Philippines,1995,74119987244.5011,234.2144179495,3973,68.8,69835713,158916,2467638
Poland,1995,139411289237.113,126.0080250743,11093,71.9,38591860,918272,1787515
Portugal,1995,118133634071.912,109.5756939891,21975,75.5,10078431,528127,2097189
Post-demographic dividend,1995,24656703265788.3,31.6407535746,,,,,
Pre-demographic dividend,1995,155295434344.673,23.9135152894,,,,,
Puerto Rico,1995,42647331000,415.2314543405,28629,73.3,3689649,328497,1360910
Qatar,1995,8137911978.02198,43.1540913006,77809,74.4,501019,353830,13178
Republic of Ireland,1995,69217500631.3131,52.3855566846,27439,77.1,3645333,226892,804432
Republic of Macedonia,1995,4449375346.45669,76.8204482894,7700,71.8,1953544,107917,444148
Republic of the Congo,1995,2116003868.17928,7.9686002928,724,54,42183620,185581,111098
Romania,1995,37662075750.123,98.8464421108,10516,69.4,22965125,122811,973490
Russia,1995,395531066563.296,9.0592430997,12013,64.4,148293265,11920139,11657301
Rwanda,1995,1293535192.20971,239.6738954195,695,43.8,5912755,210742,2065506
Saint Kitts and Nevis,1995,299699666.666667,164.9538461538,16362,,42888,2014,25650
Saint Lucia,1995,560811111.111111,241.0491803279,8854,71.1,147040,4652,30352
Saint Vincent and the Grenadines,1995,316008481.481481,277.2358974359,6044,69.6,108122,3874,45148
Samoa,1995,224865731.381903,60.1265017668,3686,70,170158,4410,71796
San Marino,1995,,431.25,41846,,25875,3554,2467
São Tomé and Príncipe,1995,,130.93125,2197,64.1,125694,4846,18969
Saudi Arabia,1995,142457676902.537,8.7704134084,35870,75.5,18853670,4950773,129412
Senegal,1995,4878719133.22771,45.2435776243,1774,58.4,8710746,250016,356333
Serbia,1995,16750000000,87.186793963,7167,72,9884146,629705,871481
Seychelles,1995,508221508.221508,163.7043478261,15097,69.8,76703,4514,16411
Sierra Leone,1995,870758739.40678,53.1699501247,1041,50.9,3837807,104349,456453
Singapore,1995,87890009877.24,5260.4567164179,44884,76.4,3482635,793855,167237
Sint Maarten,1995,,,,,30631,,
Slovakia,1995,25733043137.2549,111.4760706861,12879,72.4,5362950,69064,187324
Slovenia,1995,21273048928.427,98.8019860973,18240,74.6,1991487,174358,100481
Small states,1995,93938625841.4015,10.8617679594,,,,,
Solomon Islands,1995,519334096.714525,12.8344408717,2284,61.1,359236,3888,1313
Somalia,1995,,10.1164280932,637,49.9,6346440,18044,896727
South Africa,1995,155460234815.693,32.2482256057,9730,62.7,41426810,953701,401489
South Asia,1995,485123498771.626,263.7602265704,,,,,
South Asia (IDA & IBRD),1995,485123498771.626,263.7602265704,,,,,
South Korea,1995,559329547369.922,467.4786543645,16798,74,44652994,118307,1777594
South Sudan,1995,,,2132,52.7,5452771,0,438044
Spain,1995,612939685081.398,78.862359843,25645,77.9,39764267,1012489,1368440
Sri Lanka,1995,12995278048.7805,288.2155955988,4075,71.7,18248435,39215,925441
St. Martin,1995,,601.3235294118,,,26123,0,16757
Sub-Saharan Africa,1995,337323149165.093,24.722996668,,,,,
Sub-Saharan Africa (excluding high income),1995,336811745279.38,24.7202896515,,,,,
Sub-Saharan Africa (IDA & IBRD countries),1995,337323149165.093,24.722996668,,,,,
Sudan,1995,13829744878.6366,12.6871805556,1934,60.5,24691970,1019443,742857
Suriname,1995,693970588.235294,2.8578846154,9848,70.1,445830,13070,193310
Swaziland,1995,1698982437.76019,56.013255814,5043,59.1,963428,23015,30169
Sweden,1995,264051981551.316,21.511280889,31044,78.9,8826720,854643,218774
Switzerland,1995,341759012938.689,178.1144729186,44738,78.5,7017042,1312818,335918
Syria,1995,11396706586.8263,77.9843399717,4894,72.7,14331962,292985,653399
Tajikistan,1995,1231523105.36089,41.328450986,1266,64.1,5784330,347871,525487
Tanzania,1995,5255221424.80962,33.7585561075,1369,53.9,29903329,1100291,229999
Thailand,1995,169278552851.272,116.0055765429,9239,70.6,59266089,809682,409926
The Bahamas,1995,3429000000,27.9871128871,22119,69.7,280151,30680,28630
The Gambia,1995,785996982.492168,105.3108695652,1448,62.6,1065746,146646,38126
Togo,1995,1309382885.33029,78.769737084,1198,57.6,4284286,90722,306372
Tonga,1995,202547013.927138,133.1791666667,4269,69.6,95889,921,30524
Trinidad and Tobago,1995,5329214163.22001,244.6395711501,14046,69.3,1255001,42344,244836
Tunisia,1995,18030876599.3444,57.6564109166,6055,72.9,9113972,31851,467092
Turkey,1995,169485941048.035,76.0395514728,11530,70,58522320,1071547,2674763
Turkmenistan,1995,2482228439.71407,8.9119868917,4623,63.3,4188010,270049,243487
Turks & Caicos Islands,1995,,16.1410526316,13317,,15334,5901,1536
Tuvalu,1995,11025679.5147634,307.5666666667,2686,,9227,197,2660
U.S. Virgin Islands,1995,,308.0485714286,,76.23,107018,48707,3153
Uganda,1995,5755818947.42125,102.1618887944,910,48.3,20412967,613212,467798
Ukraine,1995,48214752454.2319,88.9139535687,5073,66.5,50811673,5774245,5613777
United Arab Emirates,1995,65743666575.8649,28.1123444976,106425,71.9,2350192,1781444,96932
United Kingdom,1995,1237561937825.47,239.8174265283,28317,76.7,57903790,4132002,2602539
United States,1995,7664060000000,29.0729515141,39476,75.9,266275528,25891540,1836539
Upper middle income,1995,3517427808194.65,37.8343823558,,,,,
Uruguay,1995,19297663096.5506,18.4253628157,11513,73.4,3224807,86635,233111
Uzbekistan,1995,13350468917.4115,53.5613540197,2213,66.6,22687456,1433906,1545331
Vanuatu,1995,233902114.8683,13.8011484824,2610,62.3,168236,1451,4809
Venezuela,1995,74888742183.6849,25.1557972904,15390,72.7,22188671,1018672,239579
Vietnam,1995,20736163915.2388,221.1911272236,2042,70.6,75198975,49803,1528171
West Bank and Gaza,1995,3282800000,411.0740863787,,,,,
World,1995,30658944469580.7,43.992480274,,,,,
Yemen,1995,4258788725.44991,28.9148000833,3644,60.3,15266147,104345,485482
Zambia,1995,3807067121.8609,12.4477421004,2106,46.9,9253527,232452,137375
Zimbabwe,1995,7111270700,30.200687605,2416,56,11683136,393451,241881
Afghanistan,2000,,30.1778941886,962,50.1,19701940,60918,4539970
Albania,2000,3632043907.78974,112.7382116788,5305,74.7,3121965,68202,822676
Algeria,2000,54790060512.8887,13.09280526,9885,73.3,31183658,241786,1024745
American Samoa,2000,,287.61,,71.7,57522,24115,3300
Andorra,2000,1401694155.6973,139.1468085106,31662,83.7,65399,41238,5628
Angola,2000,9129634978.33773,12.0787984278,3387,52.3,15058638,38485,870404
Antigua and Barbuda,2000,783837851.851852,176.4727272727,19319,73.8,77648,22746,48197
Arab World,2000,733948100679.029,20.6492970389,,,,,
Argentina,2000,284203750000,13.5409757773,11504,74.2,37057453,1459713,551769
Armenia,2000,1911563665.39006,108.0469968388,2919,71.3,3076098,620649,865553
Aruba,2000,1873452513.96648,504.7666666667,43703,73.78,90858,26897,10911
Australia,2000,414951956289.644,2.4931335668,35253,79.8,19107251,4337890,382411
Austria,2000,196421706283.398,97.0158149673,38548,78.2,8050884,996547,473599
Azerbaijan,2000,5272617196.04517,97.434779977,4459,66.5,8117742,325050,1628105
Bahrain,2000,9062906914.89362,939.2323943662,45063,73.7,666855,232683,47711
Bangladesh,2000,53369787318.6245,1008.5329876316,1632,64.9,131280739,775021,5432953
Barbados,2000,3121500000,627.5302325581,14677,74,269838,21831,94115
Belarus,2000,12736856485.1068,49.3245908105,7300,68.1,9952055,1123275,1697219
Belgium,2000,237904919845.218,338.5485468956,37404,77.8,10268380,837472,399119
Belize,2000,832072450,10.8422621657,7215,69,247312,35321,47141
Benin,2000,2569186642.86999,61.6297091167,1525,57.2,6949366,113401,320471
Bermuda,2000,3480219000,1236.66,51140,74.1,64035,16930,13873
Bhutan,2000,439158233.199822,14.1755527638,3596,65.9,564187,29673,120061
Bolivia,2000,8397912509.09679,7.6982479461,4330,67.6,8339512,91453,342847
Bosnia and Herzegovina,2000,5505984455.95855,74.0796484375,6158,75.7,3792878,81959,1468394
Botswana,2000,5788329609.15755,3.0642087061,10250,47.6,1736579,48400,26393
Brazil,2000,655421153320.579,21.0317655603,11461,70.7,175786441,657613,963876
British Virgin Islands,2000,,137.62,,,20643,10155,5430
Brunei,2000,6001153306.2645,62.7237191651,74475,75.9,330554,95333,44796
Bulgaria,2000,13148099185.2305,73.8513242339,9075,71.6,8000510,41598,689584
Burkina Faso,2000,2632700362.73684,42.4266959064,1046,52.6,11607944,485979,1234174
Burundi,2000,870486065.883137,263.5153037383,723,46.7,6767073,111921,738397
Cambodia,2000,3654031716.26881,69.102113075,1368,60,12197905,140279,454941
Cameroon,2000,9287367235.25769,33.6944701826,2404,54.3,15927713,182879,161121
Canada,2000,742293448252.643,3.3836989237,37314,79.2,30701903,5505346,1126223
Cape Verde,2000,539227277.626411,108.8677419355,3772,68.4,438737,10683,125299
Caribbean small states,2000,32206650708.8386,15.9434753612,,,,,
Cayman Islands,2000,,173.6875,56574,,41685,19172,1259
Central African Republic,2000,914500299.097034,5.981007416,848,45.3,3726048,87922,55328
Central Europe and the Baltics,2000,427507466215.704,98.1102271987,,,,,
Chad,2000,1385058161.76746,6.6258902478,998,51.5,8343321,98689,205856
Channel Islands,2000,6439703434.71024,766.6237113402,,,,62987,12826
Chile,2000,79328640263.7676,20.4031393403,14614,77.3,15170387,177332,506404
China,2000,1205260678391.96,134.4924810028,3678,69.8,1269974572,389735,5753739
Colombia,2000,99886577575.5444,36.4163668319,8414,73.3,40403959,108894,1421921
Comoros,2000,203846427.782931,294.3019881784,1391,62.1,547696,12310,70493
Costa Rica,2000,15946443103.2804,76.8791617705,9564,77.7,3925450,300336,103973
Croatia,2000,21774273832.1031,79.16294044,15644,74.2,4428069,480163,874862
Cuba,2000,30565200000,103.5082588454,11268,76.2,11116787,15263,1027729
Curaçao,2000,,301.4864864865,,,132101,0,57182
Cyprus,2000,9929632422.24317,102.0873376623,30005,77.7,943287,79394,153273
Czech Republic,2000,61474265134.5364,132.7172641387,21003,75,10263010,220789,399123
Democratic Republic of the Congo,2000,19088046305.7971,21.1943556604,4623,52.5,3109269,617393,831179
Denmark,2000,164158800460.219,125.8452981381,41693,77.1,5338283,371026,217817
Djibouti,2000,551230861.856505,31.1717860224,2079,60,722562,94491,9039
Dominica,2000,335845808.883564,92.9053333333,8091,73.7,69679,3225,47961
Dominican Republic,2000,23996100575.4896,177.2066018212,7955,73.3,8562623,354141,880284
Early-demographic dividend,2000,3284075333940.17,74.6957395536,,,,,
East Asia & Pacific,2000,8134972960509.17,83.8848561242,,,,,
East Asia & Pacific (excluding high income),2000,1734761006168.7,114.0117971273,,,,,
East Asia & Pacific (IDA & IBRD countries),2000,1731457466847.71,113.4331883701,,,,,
East Timor,2000,368000000,56.9727639543,1322,60.7,847185,9327,148379
Ecuador,2000,18327764882.4412,50.8479465292,7444,73.2,12628596,121958,438182
Egypt,2000,99838543960.0763,68.6472499874,7807,69.7,68334905,163927,1704547
El Salvador,2000,13134100000,280.494015444,6266,71.9,5811836,31586,928337
Equatorial Guinea,2000,1045998496.43872,18.9267736185,11768,52.9,530896,3650,55319
Eritrea,2000,706370815.584416,35.0015445545,1446,37.6,3535156,11295,509988
Estonia,2000,5685773518.84272,32.9555319651,14877,70.4,1399145,248999,142142
Ethiopia,2000,8242392103.68061,66.443603,623,52.1,66443603,549918,442161
Euro area,2000,6486434236202.36,119.8743639325,,,,,
Europe & Central Asia,2000,9923995518867.75,31.4031520472,,,,,
Europe & Central Asia (excluding high income),2000,691863158028.301,17.351133177,,,,,
Europe & Central Asia (IDA & IBRD countries),2000,885523030443.041,18.9343110371,,,,,
European Union,2000,8818086715617.12,115.0107449188,,,,,
Faroe Islands,2000,1062339943.83343,33.303008596,,,46491,3426,12408
Federated States of Micronesia,2000,233226300,153.4714285714,3167,66.6,107430,123507,16759
Fiji,2000,1684109743.49338,44.4019157088,6444,64.2,811223,11120,131130
Finland,2000,125539893126.958,16.9940214715,34517,77.8,5176482,134418,315543
Fragile and conflict affected situations,2000,225095475137.868,22.7268007022,,,,,
France,2000,1368438363736.87,111.2422940796,34774,79.1,59387183,6278718,1524179
French Polynesia,2000,3447543137.9415,64.8270491803,,72.31,237267,26321,4335
Gabon,2000,5067865320.7979,4.7795552451,17630,59.3,1231548,190440,17885
Georgia,2000,3057453482.55826,77.2997655621,3269,71.4,4743591,213606,967810
Germany,2000,1949953934033.54,235.596813297,36953,78.1,81895925,8658910,3336533
Ghana,2000,4983024408.14828,82.7326799684,2273,60,18824994,179184,468283
Gibraltar,2000,,2735.1,,,27351,6791,8436
Greece,2000,130133845771.144,83.8309387122,25030,78.6,10954032,1111665,984654
Greenland,2000,1068024993.98697,0.1369228895,20499,67.8,56174,6629,13338
Grenada,2000,520044370.37037,298.8823529412,9650,70.5,101620,4355,63123
Guam,2000,,287.6444444444,,73.6,155328,71382,2840
Guatemala,2000,19290566570.0483,109.0767077268,6313,68.8,11688660,48056,566298
Guinea,2000,2995360969.16199,35.8097224483,1139,54.2,8799165,558348,350394
Guinea-Bissau,2000,370173851.946119,46.7800497866,1330,52.8,1315455,18937,77537
Guyana,2000,712667896.727512,3.7704749809,5071,64.2,742218,7580,358038
Haiti,2000,3953846310.66081,310.2032656023,1734,58.7,8549202,23992,792805
Heavily indebted poor countries (HIPC),2000,155067104326.17,24.0017880085,,,,,
High income,2000,27352381849618.6,30.6333996604,,,,,
Honduras,2000,7105542971.35243,55.7965859326,3483,70.5,6243080,28320,335077
Hong Kong,2000,171668164082.555,6347.6190476191,34017,80.36,6783502,2305464,683576
Hungary,2000,47169872903.4599,113.9362977014,17707,71.8,10224113,290701,417766
IBRD only,2000,5744543377725.07,57.1134267343,,,,,
Iceland,2000,8924735422.81469,2.8050374065,33599,80.5,281214,15892,26077
IDA & IBRD total,2000,6215651386960.17,52.9234608893,,,,,
IDA blend,2000,220551740771.306,63.7425895946,,,,,
IDA only,2000,254267763502.561,35.62298184,,,,,
IDA total,2000,473036463060.381,42.5782086383,,,,,
India,2000,476609148165.173,354.3268583575,2548,61.5,1053481072,6286286,7952368
Indonesia,2000,165021012261.411,116.7718763283,5878,67.5,211540428,262999,2334652
Iran,2000,109591707802.216,40.4347806331,11719,71.4,65850062,2638875,825062
Iraq,2000,,53.901161488,11764,65.8,23574751,188245,1161698
Isle of Man,2000,1563667799.61578,134.7473684211,,,76806,37337,7367
Israel,2000,132396684080.151,290.6192236599,25739,78.6,6013711,1532124,299659
Italy,2000,1141760021927.4,193.6082010132,36073,79.6,57147081,2121688,3103588
Ivory Coast,2000,10717022462.6859,51.9432327044,3049,52,16517948,1946601,540814
Jamaica,2000,8929375580.31569,239.0940904894,8139,74.4,2600095,22292,844604
Japan,2000,4731198760271.14,347.9917695473,32193,81,125714674,1648891,702688
Jordan,2000,8457923955.68299,54.028513146,7695,73.4,4767476,1925431,367275
Kazakhstan,2000,18291990619.137,5.513066637,9706,64.9,14956769,2871300,3566599
Kenya,2000,12705357103.0056,54.5837930913,2143,55.6,31065820,627427,307166
Kiribati,2000,67512697.1243043,104.2049382716,1804,59.8,84406,1804,4047
Kosovo,2000,1849196082.05507,156.149536144,,,,,
Kuwait,2000,37711864406.7797,108.2755331089,75219,77.7,1929470,1086284,112788
Kyrgyzstan,2000,1369691955.02213,25.5391032325,2075,65.9,4954850,380737,568216
Laos,2000,1731198022.45494,23.1493890815,2327,56.1,5342879,17760,643221
Late-demographic dividend,2000,3395431406132.68,45.9022365399,,,,,
Latin America & Caribbean,2000,2262082562759.12,26.2392678423,,,,,
Latin America & Caribbean (excluding high income),2000,1786808299062.07,28.3689486594,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2000,2151957007965.91,25.6075014304,,,,,
Latvia,2000,7934770567.78679,38.0659527944,10859,70.5,2371481,430178,238831
Least developed countries: UN classification,2000,215632478175.507,32.9425523208,,,,,
Lebanon,2000,17260364842.4544,316.2639296188,12335,75.9,3235380,689524,557494
Lesotho,2000,771261707.830197,61.1404808959,1629,50.7,1856225,3699,120497
Liberia,2000,529064600,30.0245847176,473,55.8,2891968,135072,262091
Libya,2000,38270206950.41,3.0333291656,22682,74.8,5337264,567436,78675
Liechtenstein,2000,2483890593.70545,208.0125,,,33282,15389,2711
Lithuania,2000,11539211480.3625,55.8317804722,12484,72.1,3486373,203547,350501
Low & middle income,2000,5663238342389.24,54.42212901,,,,,
Low income,2000,113342940253.24,31.660371067,,,,,
Lower middle income,2000,1337274399596.3,106.2848923934,,,,,
Luxembourg,2000,21375345494.7485,168.4555984556,81425,78.5,436107,139438,32205
Macau,2000,6101794938.88536,21595.35,40091,77.63,431907,223878,101497
Madagascar,2000,3877673539.09084,27.0743388245,1446,59.1,15744811,17227,76309
Malawi,2000,1743506287.41519,118.7232711073,632,45.4,11193230,181962,184770
Malaysia,2000,93789736842.1053,71.2851955562,15695,73.3,23420751,1166948,1202246
Maldives,2000,624337145.284622,953.3333333333,7134,73,280384,26021,1196
Mali,2000,2954129565.88305,9.0534474139,1269,53.5,11046926,138028,722660
Malta,2000,3957418082.79925,1191.759375,25841,79.2,387180,21358,104661
Marshall Islands,2000,110937729.4126,289.7833333333,2936,64.7,52161,1684,6844
Mauritania,2000,1293654175.2102,2.6306597458,2738,63.8,2711421,55481,105587
Mauritius,2000,4582562398.66894,584.6665024631,11349,71.4,1185143,14512,115984
Mexico,2000,683647980782.407,52.8864374084,14704,74.6,102808590,536112,9329236
Middle East & North Africa,2000,965694218603.152,28.0392501926,,,,,
Middle East & North Africa (excluding high income),2000,451819933786.105,32.2292034804,,,,,
Middle East & North Africa (IDA & IBRD countries),2000,447459340687.879,31.9133636114,,,,,
Middle income,2000,5553376931682.3,58.2992941536,,,,,
Moldova,2000,1288420222.94787,126.7399798029,2329,68.6,4201088,240069,602885
Monaco,2000,2647883820.18625,16040.5,50200,,32081,11614,5031
Mongolia,2000,1136896162.17581,1.543189835,4655,62.5,2397438,7368,30535
Montenegro,2000,984279598.325251,44.9776951673,9803,73.3,613557,0,181128
Morocco,2000,38857251336.3448,64.8679206812,4430,71.5,28950553,42500,1947544
Mozambique,2000,5016469068.50898,23.2260942547,583,52.3,18264536,113222,636775
Myanmar,2000,,72.9408926768,2069,60.8,47669791,85376,1121782
Namibia,2000,3908661517.62299,2.3053274059,6111,54,1897953,131616,48723
Nauru,2000,,502.1,8671,,10042,2206,1583
Nepal,2000,5494252207.90502,165.6096616672,1577,65.2,23740145,680689,970932
Netherlands,2000,412807259996.315,471.7272808057,41771,78.1,15894016,1552220,754428
New Caledonia,2000,2682347064.3642,11.6646608315,,73.46,209997,46612,4937
New Zealand,2000,52623281956.7031,14.6507918423,27963,78.4,3858234,645015,489183
Nicaragua,2000,5107329007.0922,41.7715805219,3424,76,5026792,29063,496553
Niger,2000,1798374468.36362,8.861232336,778,52.4,11224523,112419,193665
Nigeria,2000,46385996028.9482,134.9152069128,2836,55.2,122876723,437977,596678
North America,2000,11030552667252.6,17.1452048371,,,,,
North Korea,2000,,189.6870525704,1287,59.1,22840218,32202,72057
Northern Mariana Islands,2000,,148.7695652174,,75.5,68434,38613,2772
Norway,2000,171315639982.731,12.2957658558,58699,78.6,4491572,278008,163412
Not classified,2000,,,,,,,
OECD members,2000,27113685207967.5,33.6144936649,,,,,
Oman,2000,19507412223.6671,7.2355508885,45472,75.2,2239403,596366,15606
Other small states,2000,90268341494.2051,10.2831876304,,,,,
Pacific island small states,2000,3480881463.58411,30.5881775701,,,,,
Pakistan,2000,73952374969.7995,179.3411257264,3366,62.3,138250487,4178579,3392645
Palau,2000,149300000,41.6826086957,12894,,19174,5714,4009
Panama,2000,12303975900,40.7418751681,9954,76.5,3028751,82912,134702
Papua New Guinea,2000,3521348154.79666,11.8669147198,1856,57.5,5374051,23805,4460
Paraguay,2000,8195993230.74275,13.3468487289,6031,74.2,5302703,172346,374501
Peru,2000,50980861887.1601,20.2459960938,6485,74.6,25914875,65323,691465
Philippines,2000,81026297144.2795,261.3685045444,4243,69.1,77932247,233520,3031119
Poland,2000,171885598582.637,124.9098207581,14565,73.8,38486305,785539,2059493
Portugal,2000,118358489957.619,112.4579016393,26147,76.8,10278542,646280,2174444
Post-demographic dividend,2000,26044297418135.1,32.4054466431,,,,,
Pre-demographic dividend,2000,211778683673.146,27.3927137924,,,,,
Puerto Rico,2000,61701810000,429.6059751973,32484,75.6,3796981,344921,1562393
Qatar,2000,17759890109.8901,51.1156761413,112238,74.7,593453,349667,14716
Republic of Ireland,2000,99833960199.005,55.2355058789,41198,77.8,3841574,350552,817399
Republic of Macedonia,2000,3772851420.24763,79.1211561148,8543,72.9,2012051,124336,530867
Republic of the Congo,2000,3219910666.03357,9.1047408492,531,54.3,48048664,299391,129315
Romania,2000,37438527799.5302,97.7013234078,9970,71.1,22128139,112260,1135857
Russia,2000,259708496267.33,8.9489966633,13173,65.1,146400951,11891623,10812562
Rwanda,2000,1734938190.25841,325.1672071342,764,49.2,8021875,337752,321694
Saint Kitts and Nevis,2000,420086753.420087,175.1692307692,19086,,45544,2784,31121
Saint Lucia,2000,780895370.37037,257.293442623,9980,72,156949,6415,39273
Saint Vincent and the Grenadines,2000,396270000,276.658974359,7571,69.1,107897,4036,53175
Samoa,2000,269019710.327456,61.7010600707,4326,70.8,174614,5682,94163
San Marino,2000,773907642.414748,457,51350,,27420,3896,3503
São Tomé and Príncipe,2000,,142.8791666667,2157,64.6,137164,4277,24849
Saudi Arabia,2000,188441866666.667,9.9513292614,37531,76.8,21392273,5086745,153365
Senegal,2000,4679604753.55711,51.215800135,1916,59.7,9860578,197885,387983
Serbia,2000,6540247190.33529,85.9403841756,7741,72.1,9463306,856060,1132817
Seychelles,2000,614879764.780006,176.3717391304,18453,70.9,81154,6095,9290
Sierra Leone,2000,635874002.198748,56.2580908839,1006,51.5,4060709,97244,507998
Singapore,2000,95833932714.6172,6011.7716417911,51663,78.3,3918183,1218865,185913
Sint Maarten,2000,,897.6176470588,,,31820,,
Slovakia,2000,29114875621.8905,112.0316008316,15242,73.3,5386065,115885,251864
Slovenia,2000,20342197589.3242,98.7549652433,22488,76.1,1988652,170885,118740
Small states,2000,125931072697.795,11.7204528219,,,,,
Solomon Islands,2000,435101217.518415,14.7315469811,1731,61.7,412336,3711,2761
Somalia,2000,,11.7725890267,603,50.7,7385416,555,1003535
South Africa,2000,136361791002.623,36.2710103949,9927,56.4,44896856,968186,510696
